id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h,labels
1,329545,746,460,744,564,1096.484375,857.796875,1.0219436883926392,0.9919849634170532,0,0,2005,1339,0
1,329307,753,462,738,570,1221.796875,941.484375,1.02164626121521,0.9896577596664428,0,0,2005,1339,0
0,329991,758,460,732,579,908.515625,564.890625,1.0436607599258425,0.99124413728714,0,0,2005,1339,0
1,330123,765,457,724,589,1096.484375,732.265625,1.028586983680725,0.991423726081848,0,0,2005,1339,0
1,329612,771,453,716,599,1159.140625,690.421875,1.0313957929611206,0.9913360476493835,0,0,2005,1339,0
0,329739,777,447,704,622,971.171875,815.953125,1.041710376739502,0.9915019273757936,0,0,2005,1339,0
1,330188,785,441,691,642,908.515625,648.578125,1.0296037197113037,0.9929145574569702,0,0,2005,1339,0
1,329414,792,437,679,659,1033.828125,732.265625,1.0246671438217163,0.9928070902824402,0,0,2005,1339,0
1,328355,798,431,665,678,1284.453125,983.328125,1.0307527780532837,0.9907498955726624,0,0,2005,1339,0
1,327939,802,426,651,697,845.859375,523.046875,1.025138020515442,0.9917391538619996,0,0,2005,1339,0
1,327390,805,421,638,713,971.171875,774.109375,1.0274831056594849,0.9935389757156372,0,0,2005,1339,0
1,326847,807,417,623,727,971.171875,732.265625,1.02435564994812,0.9925836324691772,0,0,2005,1339,0
1,325273,810,415,606,739,971.171875,648.578125,1.0230720043182373,0.991882026195526,0,0,2005,1339,0
1,324491,809,412,591,750,845.859375,857.796875,1.0184372663497925,0.9944766759872437,0,0,2005,1339,0
1,323434,805,410,580,757,1159.140625,1067.015625,1.0298906564712524,0.9922436475753784,0,0,2005,1339,0
1,321657,799,408,573,763,1347.109375,1025.171875,1.0277061462402344,0.9923403859138488,0,0,2005,1339,0
1,321360,781,408,577,766,1096.484375,1067.015625,1.0405651330947876,0.9924147129058838,0,0,2005,1339,0
1,321976,760,408,582,767,908.515625,1067.015625,1.032886028289795,0.9923699498176576,0,0,2005,1339,0
0,323199,737,410,587,765,1096.484375,857.796875,1.042311191558838,0.9925611615180968,0,0,2005,1339,0
1,324690,719,410,587,762,1033.828125,1025.171875,1.038442611694336,0.9918099641799928,0,0,2005,1339,0
2,326332,699,412,587,757,1033.828125,606.734375,1.018858551979065,0.99288809299469,0,0,2005,1339,0
1,327785,680,414,609,749,971.171875,1025.171875,1.0309104919433594,0.9921844005584716,0,0,2005,1339,0
1,329178,665,418,626,738,971.171875,606.734375,1.0177699327468872,0.9945889711380004,0,0,2005,1339,0
1,329789,648,422,646,731,908.515625,1067.015625,1.029844045639038,0.9930078387260436,0,0,2005,1339,0
2,330369,633,428,671,730,971.171875,606.734375,1.0193272829055786,0.9939314126968384,0,0,2005,1339,0
1,331004,620,433,695,727,908.515625,1108.859375,1.0274977684020996,0.9920162558555604,0,0,2005,1339,0
1,332048,609,441,716,720,971.171875,1108.859375,1.0257234573364258,0.9922839403152466,0,0,2005,1339,0
1,332194,599,447,733,712,971.171875,648.578125,1.0546910762786863,0.9921911358833312,0,0,2005,1339,0
0,389241,644,288,741,660,1221.796875,732.265625,1.0501477718353271,0.9928077459335328,0,0,2005,1339,0
0,388596,641,283,737,676,908.515625,564.890625,1.0887291431427002,0.9908554553985596,0,0,2005,1339,0
0,388006,638,277,735,699,908.515625,564.890625,1.0955296754837036,0.992213010787964,0,0,2005,1339,0
0,386705,636,272,732,720,971.171875,648.578125,1.0904555320739746,0.9897133708000184,0,0,2005,1339,0
0,385023,637,265,726,745,1347.109375,564.890625,1.0775352716445925,0.992779552936554,0,0,2005,1339,0
0,382759,639,254,721,768,1347.109375,606.734375,1.0740478038787842,0.9917699098587036,0,0,2005,1339,0
0,381036,640,245,718,789,845.859375,355.671875,1.0646482706069946,0.9897868037223816,0,0,2005,1339,0
0,378003,643,238,716,807,908.515625,564.890625,1.0612075328826904,0.987949550151825,0,0,2005,1339,0
0,376481,647,230,713,825,783.203125,355.671875,1.0814523696899414,0.992142379283905,0,0,2005,1339,0
0,373386,653,225,706,839,971.171875,564.890625,1.0572755336761477,0.9926729798316956,0,0,2005,1339,0
0,370978,659,220,698,851,971.171875,523.046875,1.0538482666015625,0.9830526113510132,0,0,2005,1339,0
1,368838,666,215,691,860,1096.484375,439.359375,1.0457756519317627,0.9923827052116394,0,0,2005,1339,0
0,366324,674,212,683,867,908.515625,481.203125,1.0618882179260254,0.9907962679862976,0,0,2005,1339,0
0,363027,682,210,672,871,908.515625,481.203125,1.0595314502716064,0.9901922345161438,0,0,2005,1339,0
0,360933,692,208,660,875,1033.828125,481.203125,1.0694169998168943,0.9888049364089966,0,0,2005,1339,0
1,355921,702,206,646,877,971.171875,899.640625,1.0430151224136353,0.9794225096702576,0,0,2005,1339,0
1,356950,712,206,631,877,971.171875,564.890625,1.041814923286438,0.9925397634506226,0,0,2005,1339,0
0,355928,723,207,622,874,971.171875,564.890625,1.0793657302856443,0.9850289225578308,0,0,2005,1339,0
0,354409,735,208,613,870,1033.828125,481.203125,1.0508360862731934,0.9927517175674438,0,0,2005,1339,0
0,353305,745,210,602,864,1033.828125,523.046875,1.0604941844940186,0.99244487285614,0,0,2005,1339,0
